Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2022-05-27,"May 27, 2022",145.39,149.68,145.26,149.64,149.64,90796900
2022-05-26,"May 26, 2022",137.39,144.34,137.14,143.78,143.78,90601500
2022-05-25,"May 25, 2022",138.43,141.79,138.34,140.52,140.52,92482700
2022-05-24,"May 24, 2022",140.81,141.97,137.33,140.36,140.36,104132700
2022-05-23,"May 23, 2022",137.79,143.26,137.65,143.11,143.11,117726300
2022-05-20,"May 20, 2022",139.09,140.70,132.61,137.59,137.59,137194600
2022-05-19,"May 19, 2022",139.88,141.66,136.60,137.35,137.35,136095600
2022-05-18,"May 18, 2022",146.85,147.36,139.90,140.82,140.82,109742900
2022-05-17,"May 17, 2022",148.86,149.77,146.68,149.24,149.24,78336300
2022-05-16,"May 16, 2022",145.55,147.52,144.18,145.54,145.54,86643800
2022-05-13,"May 13, 2022",144.59,148.10,143.11,147.11,147.11,113787000
2022-05-12,"May 12, 2022",142.77,146.20,138.80,142.56,142.56,182602000
2022-05-11,"May 11, 2022",153.50,155.45,145.81,146.50,146.5,142689800
2022-05-10,"May 10, 2022",155.52,156.74,152.93,154.51,154.51,115366700
2022-05-09,"May 09, 2022",154.93,155.83,151.49,152.06,152.06,131577900
2022-05-06,"May 06, 2022",156.01,159.44,154.18,157.28,157.28,116055700
2022-05-05,"May 05, 2022",163.85,164.08,154.95,156.77,156.54,130525300
2022-05-04,"May 04, 2022",159.67,166.48,159.26,166.02,165.78,108256500
2022-05-03,"May 03, 2022",158.15,160.71,156.32,159.48,159.25,88966500
2022-05-02,"May 02, 2022",156.71,158.23,153.27,157.96,157.73,123055300
2022-04-29,"Apr 29, 2022",161.84,166.20,157.25,157.65,157.42,131587100
2022-04-28,"Apr 28, 2022",159.25,164.52,158.93,163.64,163.4,130216800
2022-04-27,"Apr 27, 2022",155.91,159.79,155.38,156.57,156.34,88063200
2022-04-26,"Apr 26, 2022",162.25,162.34,156.72,156.80,156.57,95623200
2022-04-25,"Apr 25, 2022",161.12,163.17,158.46,162.88,162.64,96046400
2022-04-22,"Apr 22, 2022",166.46,167.87,161.50,161.79,161.55,84882400
2022-04-21,"Apr 21, 2022",168.91,171.53,165.91,166.42,166.18,87227800
2022-04-20,"Apr 20, 2022",168.76,168.88,166.10,167.23,166.98,67929800
2022-04-19,"Apr 19, 2022",165.02,167.82,163.91,167.40,167.15,67723800
2022-04-18,"Apr 18, 2022",163.92,166.60,163.57,165.07,164.83,69023900
2022-04-14,"Apr 14, 2022",170.62,171.27,165.04,165.29,165.05,75329400
2022-04-13,"Apr 13, 2022",167.39,171.04,166.77,170.40,170.15,70618900
2022-04-12,"Apr 12, 2022",168.02,169.87,166.64,167.66,167.41,79265200
2022-04-11,"Apr 11, 2022",168.71,169.03,165.50,165.75,165.51,72246700
2022-04-08,"Apr 08, 2022",171.78,171.78,169.20,170.09,169.84,76575500
2022-04-07,"Apr 07, 2022",171.16,173.36,169.85,172.14,171.89,77594700
2022-04-06,"Apr 06, 2022",172.36,173.63,170.13,171.83,171.58,89058800
2022-04-05,"Apr 05, 2022",177.50,178.30,174.42,175.06,174.8,73401800
2022-04-04,"Apr 04, 2022",174.57,178.49,174.44,178.44,178.18,76468400
2022-04-01,"Apr 01, 2022",174.03,174.88,171.94,174.31,174.05,78751300
2022-03-31,"Mar 31, 2022",177.84,178.03,174.40,174.61,174.35,103049300
2022-03-30,"Mar 30, 2022",178.55,179.61,176.70,177.77,177.51,92633200
2022-03-29,"Mar 29, 2022",176.69,179.01,176.34,178.96,178.7,100589400
2022-03-28,"Mar 28, 2022",172.17,175.73,172.00,175.60,175.34,90371900
2022-03-25,"Mar 25, 2022",173.88,175.28,172.75,174.72,174.46,80546200
2022-03-24,"Mar 24, 2022",171.06,174.14,170.21,174.07,173.81,90131400
2022-03-23,"Mar 23, 2022",167.99,172.64,167.65,170.21,169.96,98062700
2022-03-22,"Mar 22, 2022",165.51,169.42,164.91,168.82,168.57,81532000
2022-03-21,"Mar 21, 2022",163.51,166.35,163.01,165.38,165.14,95811400
2022-03-18,"Mar 18, 2022",160.51,164.48,159.76,163.98,163.74,123511700
2022-03-17,"Mar 17, 2022",158.61,161.00,157.63,160.62,160.38,75615400
2022-03-16,"Mar 16, 2022",157.05,160.00,154.46,159.59,159.36,102300200
2022-03-15,"Mar 15, 2022",150.90,155.57,150.38,155.09,154.86,92964300
2022-03-14,"Mar 14, 2022",151.45,154.12,150.10,150.62,150.4,108732100
2022-03-11,"Mar 11, 2022",158.93,159.28,154.50,154.73,154.5,96970100
2022-03-10,"Mar 10, 2022",160.20,160.39,155.98,158.52,158.29,105342000
2022-03-09,"Mar 09, 2022",161.48,163.41,159.41,162.95,162.71,91454900
2022-03-08,"Mar 08, 2022",158.82,162.88,155.80,157.44,157.21,131148300
2022-03-07,"Mar 07, 2022",163.36,165.02,159.04,159.30,159.07,96418800
2022-03-04,"Mar 04, 2022",164.49,165.55,162.10,163.17,162.93,83737200
2022-03-03,"Mar 03, 2022",168.47,168.91,165.55,166.23,165.99,76678400
2022-03-02,"Mar 02, 2022",164.39,167.36,162.95,166.56,166.32,79724800
2022-03-01,"Mar 01, 2022",164.70,166.60,161.97,163.20,162.96,83474400
2022-02-28,"Feb 28, 2022",163.06,165.42,162.43,165.12,164.88,95056600
2022-02-25,"Feb 25, 2022",163.84,165.12,160.87,164.85,164.61,91974200
2022-02-24,"Feb 24, 2022",152.58,162.85,152.00,162.74,162.5,141147500
2022-02-23,"Feb 23, 2022",165.54,166.15,159.75,160.07,159.84,90009200
2022-02-22,"Feb 22, 2022",164.98,166.69,162.15,164.32,164.08,91162800
2022-02-18,"Feb 18, 2022",169.82,170.54,166.19,167.30,167.05,82772700
2022-02-17,"Feb 17, 2022",171.03,171.91,168.47,168.88,168.63,69589300
2022-02-16,"Feb 16, 2022",171.85,173.34,170.05,172.55,172.3,61177400
2022-02-15,"Feb 15, 2022",170.97,172.95,170.25,172.79,172.54,62527400
2022-02-14,"Feb 14, 2022",167.37,169.58,166.56,168.88,168.63,86185500
2022-02-11,"Feb 11, 2022",172.33,173.08,168.04,168.64,168.39,98670700
2022-02-10,"Feb 10, 2022",174.14,175.48,171.55,172.12,171.87,90865900
2022-02-09,"Feb 09, 2022",176.05,176.65,174.90,176.28,176.02,71285000
2022-02-08,"Feb 08, 2022",171.73,175.35,171.43,174.83,174.57,74829200
2022-02-07,"Feb 07, 2022",172.86,173.95,170.95,171.66,171.41,77251200
2022-02-04,"Feb 04, 2022",171.68,174.10,170.68,172.39,172.14,82465400
2022-02-03,"Feb 03, 2022",174.48,176.24,172.12,172.90,172.43,89418100
2022-02-02,"Feb 02, 2022",174.75,175.88,173.33,175.84,175.36,84914300
2022-02-01,"Feb 01, 2022",174.01,174.84,172.31,174.61,174.13,86213900
2022-01-31,"Jan 31, 2022",170.16,175.00,169.51,174.78,174.3,115541600
2022-01-28,"Jan 28, 2022",165.71,170.35,162.80,170.33,169.86,179935700
2022-01-27,"Jan 27, 2022",162.45,163.84,158.28,159.22,158.78,121954600
2022-01-26,"Jan 26, 2022",163.50,164.39,157.82,159.69,159.25,108275300
2022-01-25,"Jan 25, 2022",158.98,162.76,157.02,159.78,159.34,115798400
2022-01-24,"Jan 24, 2022",160.02,162.30,154.70,161.62,161.18,162294600
2022-01-21,"Jan 21, 2022",164.42,166.33,162.30,162.41,161.97,122848900
2022-01-20,"Jan 20, 2022",166.98,169.68,164.18,164.51,164.06,91420500
2022-01-19,"Jan 19, 2022",170.00,171.08,165.94,166.23,165.77,94815000
2022-01-18,"Jan 18, 2022",171.51,172.54,169.41,169.80,169.34,90956700
2022-01-14,"Jan 14, 2022",171.34,173.78,171.09,173.07,172.6,80440800
2022-01-13,"Jan 13, 2022",175.78,176.62,171.79,172.19,171.72,84505800
2022-01-12,"Jan 12, 2022",176.12,177.18,174.82,175.53,175.05,74805200
2022-01-11,"Jan 11, 2022",172.32,175.18,170.82,175.08,174.6,76138300
2022-01-10,"Jan 10, 2022",169.08,172.50,168.17,172.19,171.72,106765600
2022-01-07,"Jan 07, 2022",172.89,174.14,171.03,172.17,171.7,86709100
